"","Year","Area","Cancer.Type","Age.Adjusted.Rate","Death.Count","Population"
"157",2002,"Alabama","Female Breast",25.6,681,2314370
"158",2002,"Alaska","Female Breast",21.2,47,309633
"159",2002,"Arizona","Female Breast",22.7,659,2704217
"160",2002,"Arkansas","Female Breast",25.4,416,1383239
"161",2002,"California","Female Breast",24,4133,17498462
"162",2002,"Colorado","Female Breast",23,493,2228665
"163",2002,"Connecticut","Female Breast",25.2,551,1780500
"164",2002,"Delaware","Female Breast",23.6,110,414652
"165",2002,"District of Columbia","Female Breast",34.3,110,303146
"166",2002,"Florida","Female Breast",23.6,2668,8541734
"167",2002,"Georgia","Female Breast",25.2,1042,4327934
"168",2002,"Hawaii","Female Breast",16.4,115,616192
"169",2002,"Idaho","Female Breast",25.2,173,668686
"170",2002,"Illinois","Female Breast",27.1,1897,6387897
"171",2002,"Indiana","Female Breast",25.6,900,3133342
"172",2002,"Iowa","Female Breast",25,483,1491450
"173",2002,"Kansas","Female Breast",26.5,419,1371898
"174",2002,"Kentucky","Female Breast",27.7,652,2087223
"175",2002,"Louisiana","Female Breast",29.6,718,2315524
"176",2002,"Maine","Female Breast",24,201,664226
"177",2002,"Maryland","Female Breast",29.3,879,2815197
"178",2002,"Massachusetts","Female Breast",26.4,1055,3319436
"179",2002,"Michigan","Female Breast",26.9,1516,5100171
"180",2002,"Minnesota","Female Breast",22.7,641,2531205
"181",2002,"Mississippi","Female Breast",26.7,419,1475412
"182",2002,"Missouri","Female Breast",26.1,893,2910476
"183",2002,"Montana","Female Breast",27.4,150,456712
"184",2002,"Nebraska","Female Breast",24.2,252,874803
"185",2002,"Nevada","Female Breast",25.7,270,1069764
"186",2002,"New Hampshire","Female Breast",24.4,176,643680
"187",2002,"New Jersey","Female Breast",28.5,1476,4398801
"188",2002,"New Mexico","Female Breast",21.9,216,941856
"189",2002,"New York","Female Breast",26,2988,9902927
"190",2002,"North Carolina","Female Breast",26.2,1221,4250179
"191",2002,"North Dakota","Female Breast",25.9,103,319017
"192",2002,"Ohio","Female Breast",27.9,1913,5859385
"193",2002,"Oklahoma","Female Breast",27.1,546,1769080
"194",2002,"Oregon","Female Breast",24.7,501,1771126
"195",2002,"Pennsylvania","Female Breast",27.9,2317,6363832
"196",2002,"Rhode Island","Female Breast",23.6,164,553090
"197",2002,"South Carolina","Female Breast",27,627,2111069
"198",2002,"South Dakota","Female Breast",23.8,109,382328
"199",2002,"Tennessee","Female Breast",25.9,865,2971873
"200",2002,"Texas","Female Breast",24.7,2510,10914653
"201",2002,"United States","Female Breast",25.6,41514,146394634
"202",2002,"Utah","Female Breast",24.1,220,1158853
