"","Year","Area","Cancer.Type","Age.Adjusted.Rate","Death.Count","Population"
"157",2002,"Alabama","Liver and Intrahepatic Bile Duct",5.9,276,4480089
"158",2002,"Alaska","Liver and Intrahepatic Bile Duct",4.4,20,642337
"159",2002,"Arizona","Liver and Intrahepatic Bile Duct",4.8,257,5396255
"160",2002,"Arkansas","Liver and Intrahepatic Bile Duct",4.9,143,2705927
"161",2002,"California","Liver and Intrahepatic Bile Duct",6.1,1876,34871843
"162",2002,"Colorado","Liver and Intrahepatic Bile Duct",3.7,142,4490406
"163",2002,"Connecticut","Liver and Intrahepatic Bile Duct",4,152,3458749
"164",2002,"Delaware","Liver and Intrahepatic Bile Duct",5,41,806169
"165",2002,"District of Columbia","Liver and Intrahepatic Bile Duct",6.6,37,573158
"166",2002,"Florida","Liver and Intrahepatic Bile Duct",4.5,956,16689370
"167",2002,"Georgia","Liver and Intrahepatic Bile Duct",4.6,326,8508256
"168",2002,"Hawaii","Liver and Intrahepatic Bile Duct",7,93,1239613
"169",2002,"Idaho","Liver and Intrahepatic Bile Duct",4.1,50,1340372
"170",2002,"Illinois","Liver and Intrahepatic Bile Duct",4.7,575,12525556
"171",2002,"Indiana","Liver and Intrahepatic Bile Duct",4.1,252,6155967
"172",2002,"Iowa","Liver and Intrahepatic Bile Duct",3.3,109,2934234
"173",2002,"Kansas","Liver and Intrahepatic Bile Duct",4.2,119,2713535
"174",2002,"Kentucky","Liver and Intrahepatic Bile Duct",4.9,203,4089875
"175",2002,"Louisiana","Liver and Intrahepatic Bile Duct",6.7,283,4497267
"176",2002,"Maine","Liver and Intrahepatic Bile Duct",3.9,59,1295960
"177",2002,"Maryland","Liver and Intrahepatic Bile Duct",4.8,247,5440389
"178",2002,"Massachusetts","Liver and Intrahepatic Bile Duct",4.7,321,6417206
"179",2002,"Michigan","Liver and Intrahepatic Bile Duct",4.7,475,10015710
"180",2002,"Minnesota","Liver and Intrahepatic Bile Duct",4,197,5018935
"181",2002,"Mississippi","Liver and Intrahepatic Bile Duct",5.4,151,2858681
"182",2002,"Missouri","Liver and Intrahepatic Bile Duct",4.5,274,5674825
"183",2002,"Montana","Liver and Intrahepatic Bile Duct",4.2,42,911667
"184",2002,"Nebraska","Liver and Intrahepatic Bile Duct",3.5,65,1728292
"185",2002,"Nevada","Liver and Intrahepatic Bile Duct",5.5,112,2173791
"186",2002,"New Hampshire","Liver and Intrahepatic Bile Duct",4.8,61,1269089
"187",2002,"New Jersey","Liver and Intrahepatic Bile Duct",4.3,385,8552643
"188",2002,"New Mexico","Liver and Intrahepatic Bile Duct",6.8,124,1855309
"189",2002,"New York","Liver and Intrahepatic Bile Duct",5,997,19137800
"190",2002,"North Carolina","Liver and Intrahepatic Bile Duct",4.3,350,8326201
"191",2002,"North Dakota","Liver and Intrahepatic Bile Duct",2.5,18,638168
"192",2002,"Ohio","Liver and Intrahepatic Bile Duct",4.4,531,11407889
"193",2002,"Oklahoma","Liver and Intrahepatic Bile Duct",3.8,138,3489080
"194",2002,"Oregon","Liver and Intrahepatic Bile Duct",3.9,147,3513424
"195",2002,"Pennsylvania","Liver and Intrahepatic Bile Duct",4.3,626,12331031
"196",2002,"Rhode Island","Liver and Intrahepatic Bile Duct",4.3,50,1065995
