"","Year","Area","Cancer.Type","Age.Adjusted.Rate","Death.Count","Population"
"157",2002,"Alabama","Lung and Bronchus",63.5,2989,4480089
"158",2002,"Alaska","Lung and Bronchus",51.4,198,642337
"159",2002,"Arizona","Lung and Bronchus",47.7,2620,5396255
"160",2002,"Arkansas","Lung and Bronchus",71.5,2131,2705927
"161",2002,"California","Lung and Bronchus",45.6,13789,34871843
"162",2002,"Colorado","Lung and Bronchus",42.8,1548,4490406
"163",2002,"Connecticut","Lung and Bronchus",48.5,1847,3458749
"164",2002,"Delaware","Lung and Bronchus",56.2,473,806169
"165",2002,"District of Columbia","Lung and Bronchus",58.3,326,573158
"166",2002,"Florida","Lung and Bronchus",54.9,11847,16689370
"167",2002,"Georgia","Lung and Bronchus",59.9,4186,8508256
"168",2002,"Hawaii","Lung and Bronchus",31.9,424,1239613
"169",2002,"Idaho","Lung and Bronchus",43.2,531,1340372
"170",2002,"Illinois","Lung and Bronchus",56.5,6847,12525556
"171",2002,"Indiana","Lung and Bronchus",64.8,3968,6155967
"172",2002,"Iowa","Lung and Bronchus",51.4,1732,2934234
"173",2002,"Kansas","Lung and Bronchus",53.1,1479,2713535
"174",2002,"Kentucky","Lung and Bronchus",80.4,3347,4089875
"175",2002,"Louisiana","Lung and Bronchus",66.4,2837,4497267
"176",2002,"Maine","Lung and Bronchus",63.5,948,1295960
"177",2002,"Maryland","Lung and Bronchus",57.7,2967,5440389
"178",2002,"Massachusetts","Lung and Bronchus",55.2,3762,6417206
"179",2002,"Michigan","Lung and Bronchus",57.2,5713,10015710
"180",2002,"Minnesota","Lung and Bronchus",47.7,2326,5018935
"181",2002,"Mississippi","Lung and Bronchus",68,1900,2858681
"182",2002,"Missouri","Lung and Bronchus",62.9,3792,5674825
"183",2002,"Montana","Lung and Bronchus",53.2,531,911667
"184",2002,"Nebraska","Lung and Bronchus",49,889,1728292
"185",2002,"Nevada","Lung and Bronchus",57.3,1154,2173791
"186",2002,"New Hampshire","Lung and Bronchus",56.4,702,1269089
"187",2002,"New Jersey","Lung and Bronchus",50.7,4558,8552643
"188",2002,"New Mexico","Lung and Bronchus",39.4,699,1855309
"189",2002,"New York","Lung and Bronchus",48.5,9615,19137800
"190",2002,"North Carolina","Lung and Bronchus",59.4,4868,8326201
"191",2002,"North Dakota","Lung and Bronchus",42.4,304,638168
"192",2002,"Ohio","Lung and Bronchus",62,7490,11407889
"193",2002,"Oklahoma","Lung and Bronchus",65.6,2397,3489080
"194",2002,"Oregon","Lung and Bronchus",56.5,2057,3513424
"195",2002,"Pennsylvania","Lung and Bronchus",54.7,8096,12331031
"196",2002,"Rhode Island","Lung and Bronchus",58.7,695,1065995
"197",2002,"South Carolina","Lung and Bronchus",60.3,2483,4107795
"198",2002,"South Dakota","Lung and Bronchus",47.7,399,760020
"199",2002,"Tennessee","Lung and Bronchus",69.4,4080,5795918
"200",2002,"Texas","Lung and Bronchus",55.4,9797,21690325
"201",2002,"United States","Lung and Bronchus",55,157630,287625193
"202",2002,"Utah","Lung and Bronchus",24.6,400,2324815
"203",2002,"Vermont","Lung and Bronchus",49.1,318,615442
"204",2002,"Virginia","Lung and Bronchus",57.5,3920,7286873
"205",2002,"Washington","Lung and Bronchus",54.6,3084,6052349
"206",2002,"West Virginia","Lung and Bronchus",69.4,1522,1805414
"207",2002,"Wisconsin","Lung and Bronchus",49.6,2803,5445162
"208",2002,"Wyoming","Lung and Bronchus",49.6,242,500017
"209",2003,"Alabama","Lung and Bronchus",65,3107,4503491
"210",2003,"Alaska","Lung and Bronchus",56.9,214,648414
"211",2003,"Arizona","Lung and Bronchus",48.2,2719,5510364
"212",2003,"Arkansas","Lung and Bronchus",67.2,2018,2724816
"213",2003,"California","Lung and Bronchus",44.2,13640,35253159
"214",2003,"Colorado","Lung and Bronchus",41.7,1545,4528732
"215",2003,"Connecticut","Lung and Bronchus",49.1,1889,3484336
"216",2003,"Delaware","Lung and Bronchus",62.3,539,818003
"217",2003,"District of Columbia","Lung and Bronchus",50.9,284,568502
"218",2003,"Florida","Lung and Bronchus",54.2,11915,17004085
"219",2003,"Georgia","Lung and Bronchus",59.6,4261,8622793
"220",2003,"Hawaii","Lung and Bronchus",37.4,508,1251154
"221",2003,"Idaho","Lung and Bronchus",46.5,590,1363380
"222",2003,"Illinois","Lung and Bronchus",56,6854,12556006
"223",2003,"Indiana","Lung and Bronchus",65.5,4074,6196638
"224",2003,"Iowa","Lung and Bronchus",52.2,1765,2941999
"225",2003,"Kansas","Lung and Bronchus",53.7,1515,2723004
"226",2003,"Kentucky","Lung and Bronchus",78.5,3330,4117170
"227",2003,"Louisiana","Lung and Bronchus",66,2855,4521042
"228",2003,"Maine","Lung and Bronchus",62.7,951,1306513
"229",2003,"Maryland","Lung and Bronchus",57.7,3015,5496269
"230",2003,"Massachusetts","Lung and Bronchus",54.7,3760,6422565
"231",2003,"Michigan","Lung and Bronchus",56.3,5711,10041152
"232",2003,"Minnesota","Lung and Bronchus",46.1,2283,5053572
"233",2003,"Mississippi","Lung and Bronchus",67,1897,2868312
"234",2003,"Missouri","Lung and Bronchus",61.9,3786,5709403
"235",2003,"Montana","Lung and Bronchus",52.7,535,919630
"236",2003,"Nebraska","Lung and Bronchus",47.9,877,1738643
"237",2003,"Nevada","Lung and Bronchus",62.8,1324,2248850
"238",2003,"New Hampshire","Lung and Bronchus",53.1,679,1279840
"239",2003,"New Jersey","Lung and Bronchus",51.2,4648,8601402
