"","Year","Area","Cancer.Type","Age.Adjusted.Rate","Case.Count","Population"
"157",2002,"Alabama","Oral Cavity and Pharynx","11.9","565",4480089
"158",2002,"Alaska","Oral Cavity and Pharynx","9.9","50",642337
"159",2002,"Arizona","Oral Cavity and Pharynx","8.9","482",5396255
"160",2002,"Arkansas","Oral Cavity and Pharynx","11.5","333",2705927
"161",2002,"California","Oral Cavity and Pharynx","10.3","3252",34871843
"162",2002,"Colorado","Oral Cavity and Pharynx","9.7","391",4490406
"163",2002,"Connecticut","Oral Cavity and Pharynx","10.2","381",3458749
"164",2002,"Delaware","Oral Cavity and Pharynx","10.8","92",806169
"165",2002,"District of Columbia","Oral Cavity and Pharynx","14.1","80",573158
"166",2002,"Florida","Oral Cavity and Pharynx","13.7","2729",16689370
"167",2002,"Georgia","Oral Cavity and Pharynx","12.1","916",8508256
"168",2002,"Hawaii","Oral Cavity and Pharynx","11.5","152",1239613
"169",2002,"Idaho","Oral Cavity and Pharynx","10.4","131",1340372
"170",2002,"Illinois","Oral Cavity and Pharynx","11","1353",12525556
"171",2002,"Indiana","Oral Cavity and Pharynx","11.1","688",6155967
"172",2002,"Iowa","Oral Cavity and Pharynx","11.4","369",2934234
"173",2002,"Kansas","Oral Cavity and Pharynx","10.4","286",2713535
"174",2002,"Kentucky","Oral Cavity and Pharynx","12","509",4089875
"175",2002,"Louisiana","Oral Cavity and Pharynx","12.2","536",4497267
"176",2002,"Maine","Oral Cavity and Pharynx","12.5","186",1295960
"177",2002,"Maryland","Oral Cavity and Pharynx","10.1","550",5440389
"178",2002,"Massachusetts","Oral Cavity and Pharynx","11.3","762",6417206
"179",2002,"Michigan","Oral Cavity and Pharynx","11.7","1188",10015710
"180",2002,"Minnesota","Oral Cavity and Pharynx","11","550",5018935
"181",2002,"Mississippi","Oral Cavity and Pharynx","Data Suppressed","Data Suppressed",NA
"182",2002,"Missouri","Oral Cavity and Pharynx","10.8","646",5674825
"183",2002,"Montana","Oral Cavity and Pharynx","12.2","121",911667
"184",2002,"Nebraska","Oral Cavity and Pharynx","11.3","202",1728292
"185",2002,"Nevada","Oral Cavity and Pharynx","10.7","232",2173791
"186",2002,"New Hampshire","Oral Cavity and Pharynx","10.9","143",1269089
"187",2002,"New Jersey","Oral Cavity and Pharynx","9.9","891",8552643
"188",2002,"New Mexico","Oral Cavity and Pharynx","10","184",1855309
"189",2002,"New York","Oral Cavity and Pharynx","10","1981",19137800
"190",2002,"North Carolina","Oral Cavity and Pharynx","10.7","900",8326201
"191",2002,"North Dakota","Oral Cavity and Pharynx","14","98",638168
"192",2002,"Ohio","Oral Cavity and Pharynx","9.1","1100",11407889
"193",2002,"Oklahoma","Oral Cavity and Pharynx","10.9","397",3489080
"194",2002,"Oregon","Oral Cavity and Pharynx","10.8","398",3513424
