"","Year","Area","Cancer.Type","Age.Adjusted.Rate","Case.Count","Population"
"157",2002,"Alabama","Thyroid","6.4","292",4480089
"158",2002,"Alaska","Thyroid","8.2","52",642337
"159",2002,"Arizona","Thyroid","9","475",5396255
"160",2002,"Arkansas","Thyroid","4.6","130",2705927
"161",2002,"California","Thyroid","7.7","2600",34871843
"162",2002,"Colorado","Thyroid","9.1","407",4490406
"163",2002,"Connecticut","Thyroid","9.8","348",3458749
"164",2002,"Delaware","Thyroid","11.4","94",806169
"165",2002,"District of Columbia","Thyroid","11.1","66",573158
"166",2002,"Florida","Thyroid","7.3","1308",16689370
"167",2002,"Georgia","Thyroid","7.2","601",8508256
"168",2002,"Hawaii","Thyroid","10","129",1239613
"169",2002,"Idaho","Thyroid","9.4","120",1340372
"170",2002,"Illinois","Thyroid","8.9","1112",12525556
"171",2002,"Indiana","Thyroid","7.8","476",6155967
"172",2002,"Iowa","Thyroid","9.8","288",2934234
"173",2002,"Kansas","Thyroid","9","241",2713535
"174",2002,"Kentucky","Thyroid","7.2","301",4089875
"175",2002,"Louisiana","Thyroid","7.5","331",4497267
"176",2002,"Maine","Thyroid","9.7","133",1295960
"177",2002,"Maryland","Thyroid","10.1","563",5440389
"178",2002,"Massachusetts","Thyroid","10.6","698",6417206
"179",2002,"Michigan","Thyroid","7.7","771",10015710
"180",2002,"Minnesota","Thyroid","7.6","382",5018935
"181",2002,"Mississippi","Thyroid","Data Suppressed","Data Suppressed",NA
"182",2002,"Missouri","Thyroid","8.3","474",5674825
"183",2002,"Montana","Thyroid","11.2","105",911667
"184",2002,"Nebraska","Thyroid","9.7","166",1728292
"185",2002,"Nevada","Thyroid","10.1","224",2173791
"186",2002,"New Hampshire","Thyroid","7.1","93",1269089
"187",2002,"New Jersey","Thyroid","11.5","1012",8552643
"188",2002,"New Mexico","Thyroid","12.6","232",1855309
"189",2002,"New York","Thyroid","9.6","1879",19137800
"190",2002,"North Carolina","Thyroid","5.6","469",8326201
"191",2002,"North Dakota","Thyroid","8.3","53",638168
"192",2002,"Ohio","Thyroid","6.7","776",11407889
"193",2002,"Oklahoma","Thyroid","6.1","214",3489080
"194",2002,"Oregon","Thyroid","7.1","253",3513424
"195",2002,"Pennsylvania","Thyroid","12.6","1624",12331031
"196",2002,"Rhode Island","Thyroid","12.7","139",1065995
"197",2002,"South Carolina","Thyroid","6.3","260",4107795
"198",2002,"South Dakota","Thyroid","9.6","71",760020
"199",2002,"Tennessee","Thyroid","7.9","466",5795918
"200",2002,"Texas","Thyroid","8.3","1699",21690325
"201",2002,"United States","Thyroid","8.4","24058",284766512
"202",2002,"Utah","Thyroid","12","237",2324815
"203",2002,"Vermont","Thyroid","8.5","53",615442
"204",2002,"Virginia","Thyroid","6.2","463",7286873
"205",2002,"Washington","Thyroid","9.2","554",6052349
"206",2002,"West Virginia","Thyroid","8.7","170",1805414
"207",2002,"Wisconsin","Thyroid","7.4","408",5445162
"208",2002,"Wyoming","Thyroid","8.8","46",500017
"209",2003,"Alabama","Thyroid","6.6","305",4503491
"210",2003,"Alaska","Thyroid","9.5","61",648414
"211",2003,"Arizona","Thyroid","9.8","533",5510364
"212",2003,"Arkansas","Thyroid","5.6","157",2724816
"213",2003,"California","Thyroid","7.9","2705",35253159
"214",2003,"Colorado","Thyroid","9.8","442",4528732
"215",2003,"Connecticut","Thyroid","12.4","448",3484336
"216",2003,"Delaware","Thyroid","9.4","80",818003
"217",2003,"District of Columbia","Thyroid","10.7","64",568502
"218",2003,"Florida","Thyroid","8","1451",17004085
"219",2003,"Georgia","Thyroid","7.2","604",8622793
"220",2003,"Hawaii","Thyroid","10.7","140",1251154
"221",2003,"Idaho","Thyroid","9.9","133",1363380
"222",2003,"Illinois","Thyroid","9","1127",12556006
"223",2003,"Indiana","Thyroid","7.8","483",6196638
"224",2003,"Iowa","Thyroid","10.4","307",2941999
"225",2003,"Kansas","Thyroid","10.1","273",2723004
"226",2003,"Kentucky","Thyroid","8","336",4117170
"227",2003,"Louisiana","Thyroid","7.6","339",4521042
"228",2003,"Maine","Thyroid","10.5","142",1306513
"229",2003,"Maryland","Thyroid","10.8","615",5496269
"230",2003,"Massachusetts","Thyroid","12.5","833",6422565
"231",2003,"Michigan","Thyroid","8.5","864",10041152
"232",2003,"Minnesota","Thyroid","8.2","416",5053572
"233",2003,"Mississippi","Thyroid","7.9","222",2868312
"234",2003,"Missouri","Thyroid","8.4","487",5709403
"235",2003,"Montana","Thyroid","10.8","99",919630
"236",2003,"Nebraska","Thyroid","9.2","157",1738643
"237",2003,"Nevada","Thyroid","10.8","249",2248850
"238",2003,"New Hampshire","Thyroid","7.3","98",1279840
"239",2003,"New Jersey","Thyroid","12.1","1082",8601402
"240",2003,"New Mexico","Thyroid","11.3","211",1877574
"241",2003,"New York","Thyroid","9.7","1913",19175939
"242",2003,"North Carolina","Thyroid","6.3","547",8422501
"243",2003,"North Dakota","Thyroid","7.8","52",638817
"244",2003,"Ohio","Thyroid","8","935",11434788
"245",2003,"Oklahoma","Thyroid","5.2","183",3504892
"246",2003,"Oregon","Thyroid","7.9","288",3547376
"247",2003,"Pennsylvania","Thyroid","13","1691",12374658
"248",2003,"Rhode Island","Thyroid","10.9","119",1071342
"249",2003,"South Carolina","Thyroid","6.4","274",4150297
"250",2003,"South Dakota","Thyroid","8.9","67",763729
"251",2003,"Tennessee","Thyroid","8.1","487",5847812
"252",2003,"Texas","Thyroid","8.4","1748",22030931
"253",2003,"United States","Thyroid","8.8","25812",290107933
"254",2003,"Utah","Thyroid","10.9","223",2360137
"255",2003,"Vermont","Thyroid","8.7","56",617858
"256",2003,"Virginia","Thyroid","7.4","557",7366977
"257",2003,"Washington","Thyroid","9.4","581",6104115
"258",2003,"West Virginia","Thyroid","6.8","133",1812295
"259",2003,"Wisconsin","Thyroid","8","442",5479203
"260",2003,"Wyoming","Thyroid","10.7","53",503453
"261",2004,"Alabama","Thyroid","7.1","330",4530729
"262",2004,"Alaska","Thyroid","11.3","78",659286
"263",2004,"Arizona","Thyroid","11.3","633",5652404
"264",2004,"Arkansas","Thyroid","6.2","173",2749686
"265",2004,"California","Thyroid","8.4","2908",35574576
"266",2004,"Colorado","Thyroid","10.6","485",4575013
"267",2004,"Connecticut","Thyroid","13","472",3496094
"268",2004,"Delaware","Thyroid","11.5","99",830803
"269",2004,"District of Columbia","Thyroid","8.3","48",567754
"270",2004,"Florida","Thyroid","8.4","1590",17415318
"271",2004,"Georgia","Thyroid","8.3","709",8769252
"272",2004,"Hawaii","Thyroid","10","130",1273569
"273",2004,"Idaho","Thyroid","10.2","139",1391802
"274",2004,"Illinois","Thyroid","10","1256",12589773
