"","Location"
"1","Abbeville County"
"2","Acadia Parish"
"3","Accomack County"
"4","Ada County"
"5","Adair County"
"6","Adams County"
"7","Adams County, Boulder County, Broomfield County, Jefferson County, Weld County"
"8","Addison County"
"9","Aiken County"
"10","Aitkin County"
"11","Alabama"
"12","Alachua County"
"13","Alamance County"
"14","Alameda County"
"15","Alamosa County"
"16","Alaska"
"17","Albany County"
"18","Albemarle County"
"19","Alcona County"
"20","Alcorn County"
"21","Aleutians East Borough"
"22","Aleutians West Census Area"
"23","Alexander County"
"24","Alexandria City"
"25","Alfalfa County"
"26","Alger County"
"27","Allamakee County"
"28","Allegan County"
"29","Allegany County"
"30","Alleghany County"
"31","Allegheny County"
"32","Allen County"
"33","Allen Parish"
"34","Allendale County"
"35","Alpena County"
"36","Alpine County"
"37","Amador County"
"38","Amelia County"
"39","Amherst County"
"40","Amite County"
"41","Anchorage Municipality"
"42","Anderson County"
"43","Andrew County"
"44","Andrews County"
"45","Androscoggin County"
"46","Angelina County"
"47","Anne Arundel County"
"48","Anoka County"
"49","Anson County"
"50","Antelope County"
"51","Antrim County"
"52","Apache County"
"53","Appanoose County"
"54","Appling County"
"55","Appomattox County"
"56","Aransas County"
"57","Arapahoe County"
"58","Archer County"
"59","Archuleta County"
"60","Arenac County"
"61","Arizona"
"62","Arkansas"
"63","Arkansas County"
"64","Arlington County"
"65","Armstrong County"
"66","Aroostook County"
"67","Arthur County"
"68","Ascension Parish"
"69","Ashe County"
"70","Ashland County"
"71","Ashley County"
"72","Ashtabula County"
"73","Asotin County"
"74","Assumption Parish"
"75","Atascosa County"
"76","Atchison County"
"77","Athens County"
"78","Atkinson County"
"79","Atlantic County"
"80","Atoka County"
"81","Attala County"
"82","Audrain County"
"83","Audubon County"
"84","Auglaize County"
"85","Augusta County, Waynesboro City"
"86","Aurora County"
"87","Austin County"
"88","Autauga County"
"89","Avery County"
"90","Avoyelles Parish"
"91","Baca County"
"92","Bacon County"
"93","Bailey County"
"94","Baker County"
"95","Baldwin County"
"96","Ballard County"
"97","Baltimore City"
"98","Baltimore County"
"99","Bamberg County"
"100","Bandera County"
"101","Banks County"
"102","Banner County"
"103","Bannock County"
"104","Baraga County"
"105","Barber County"
"106","Barbour County"
"107","Barnes County"
"108","Barnstable County"
"109","Barnwell County"
"110","Barren County"
"111","Barron County"
"112","Barrow County"
"113","Barry County"
"114","Bartholomew County"
"115","Barton County"
"116","Bartow County"
"117","Bastrop County"
"118","Bates County"
"119","Bath County"
"120","Baxter County"
"121","Bay County"
"122","Bayfield County"
"123","Baylor County"
"124","Beadle County"
"125","Bear Lake County"
"126","Beaufort County"
"127","Beauregard Parish"
"128","Beaver County"
"129","Beaverhead County"
"130","Becker County"
"131","Beckham County"
"132","Bedford County"
"133","Bedford County, Bedford City"
"134","Bee County"
"135","Belknap County"
"136","Bell County"
"137","Belmont County"
"138","Beltrami County"
"139","Ben Hill County"
"140","Benewah County"
"141","Bennett County"
"142","Bennington County"
"143","Benson County"
"144","Bent County"
"145","Benton County"
"146","Benzie County"
"147","Bergen County"
"148","Berkeley County"
"149","Berks County"
"150","Berkshire County"
"151","Bernalillo County"
