"","USAcountry","description","year","consumption"
"43","Aruba","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2002",""
"44","Aruba","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2003",""
"45","Aruba","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2004",""
"46","Aruba","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2005",""
"47","Aruba","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2006",""
"48","Aruba","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2007",""
"49","Aruba","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2008",""
"50","Aruba","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2009",""
"51","Aruba","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2010",""
"52","Aruba","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2011",""
"53","Aruba","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2012",""
"104","Africa Eastern and Southern","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2002",""
"105","Africa Eastern and Southern","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2003",""
"106","Africa Eastern and Southern","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2004",""
"107","Africa Eastern and Southern","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2005","7.98862712097166"
"108","Africa Eastern and Southern","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2006",""
"109","Africa Eastern and Southern","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2007",""
"110","Africa Eastern and Southern","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2008",""
"111","Africa Eastern and Southern","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2009",""
"112","Africa Eastern and Southern","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2010","8.90394370453035"
"113","Africa Eastern and Southern","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2011",""
"114","Africa Eastern and Southern","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2012",""
"165","Afghanistan","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2002",""
"166","Afghanistan","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2003",""
"167","Afghanistan","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2004",""
"168","Afghanistan","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2005",""
"169","Afghanistan","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2006",""
"170","Afghanistan","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2007",""
"171","Afghanistan","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2008",""
"172","Afghanistan","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2009",""
"173","Afghanistan","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2010","0.36"
"174","Afghanistan","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2011",""
"175","Afghanistan","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2012",""
"226","Africa Western and Central","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2002",""
"227","Africa Western and Central","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2003",""
"228","Africa Western and Central","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2004",""
"229","Africa Western and Central","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2005","12.6499840034906"
"230","Africa Western and Central","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2006",""
"231","Africa Western and Central","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2007",""
"232","Africa Western and Central","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2008",""
"233","Africa Western and Central","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2009",""
"234","Africa Western and Central","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2010","12.1457704991797"
"235","Africa Western and Central","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2011",""
"236","Africa Western and Central","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2012",""
"287","Angola","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2002",""
"288","Angola","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2003",""
"289","Angola","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2004",""
"290","Angola","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2005","7.81"
"291","Angola","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2006",""
"292","Angola","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2007",""
"293","Angola","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2008",""
"294","Angola","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2009",""
"295","Angola","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2010","12.92"
"296","Angola","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2011",""
"297","Angola","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2012",""
"348","Albania","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2002",""
"349","Albania","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2003",""
"350","Albania","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2004",""
"351","Albania","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2005","12.41"
"352","Albania","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2006",""
"353","Albania","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2007",""
"354","Albania","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2008",""
"355","Albania","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2009",""
"356","Albania","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2010","12.47"
"357","Albania","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2011",""
"358","Albania","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2012",""
"409","Andorra","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2002",""
"410","Andorra","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2003",""
"411","Andorra","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2004",""
"412","Andorra","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2005","19.18"
"413","Andorra","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2006",""
"414","Andorra","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2007",""
"415","Andorra","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2008",""
"416","Andorra","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2009",""
"417","Andorra","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2010","17.13"
"418","Andorra","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2011",""
"419","Andorra","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2012",""
"470","Arab World","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2002",""
"471","Arab World","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2003",""
"472","Arab World","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2004",""
"473","Arab World","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2005","1.09801929918425"
"474","Arab World","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2006",""
"475","Arab World","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2007",""
"476","Arab World","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2008",""
"477","Arab World","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2009",""
"478","Arab World","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2010","1.09416937574323"
"479","Arab World","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2011",""
"480","Arab World","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2012",""
"531","United Arab Emirates","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2002",""
"532","United Arab Emirates","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2003",""
"533","United Arab Emirates","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2004",""
"534","United Arab Emirates","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2005","4.62"
"535","United Arab Emirates","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2006",""
"536","United Arab Emirates","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2007",""
"537","United Arab Emirates","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2008",""
"538","United Arab Emirates","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2009",""
"539","United Arab Emirates","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2010","3.86"
"540","United Arab Emirates","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2011",""
"541","United Arab Emirates","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2012",""
"592","Argentina","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2002",""
"593","Argentina","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2003",""
"594","Argentina","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2004",""
"595","Argentina","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2005","13.5"
"596","Argentina","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2006",""
"597","Argentina","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2007",""
"598","Argentina","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2008",""
"599","Argentina","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2009",""
"600","Argentina","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2010","14.09"
"601","Argentina","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2011",""
"602","Argentina","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2012",""
"653","Armenia","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2002",""
"654","Armenia","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2003",""
"655","Armenia","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2004",""
"656","Armenia","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2005","9.54"
"657","Armenia","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2006",""
"658","Armenia","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2007",""
"659","Armenia","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2008",""
"660","Armenia","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2009",""
"661","Armenia","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2010","9.4"
"662","Armenia","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2011",""
"663","Armenia","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2012",""
"714","American Samoa","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2002",""
"715","American Samoa","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2003",""
"716","American Samoa","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2004",""
"717","American Samoa","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2005",""
"718","American Samoa","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2006",""
"719","American Samoa","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2007",""
"720","American Samoa","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2008",""
"721","American Samoa","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2009",""
"722","American Samoa","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2010",""
"723","American Samoa","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2011",""
"724","American Samoa","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2012",""
"775","Antigua and Barbuda","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2002",""
"776","Antigua and Barbuda","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2003",""
"777","Antigua and Barbuda","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2004",""
"778","Antigua and Barbuda","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2005","8.63"
"779","Antigua and Barbuda","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2006",""
"780","Antigua and Barbuda","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2007",""
"781","Antigua and Barbuda","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2008",""
"782","Antigua and Barbuda","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2009",""
"783","Antigua and Barbuda","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2010","9.05"
"784","Antigua and Barbuda","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2011",""
"785","Antigua and Barbuda","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2012",""
"836","Australia","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2002",""
"837","Australia","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2003",""
"838","Australia","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2004",""
"839","Australia","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2005","18.34"
"840","Australia","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2006",""
"841","Australia","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2007",""
"842","Australia","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2008",""
"843","Australia","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2009",""
"844","Australia","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2010","18.73"
"845","Australia","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2011",""
"846","Australia","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","2012",""
