Year,Area,Cancer Type,Age-Adjusted Rate,Death Count,Population
1999,Alabama,Liver and Intrahepatic Bile Duct,5.2,232,4430141
1999,Alaska,Liver and Intrahepatic Bile Duct,4.4,17,624779
1999,Arizona,Liver and Intrahepatic Bile Duct,4.3,218,5023823
1999,Arkansas,Liver and Intrahepatic Bile Duct,5.7,163,2651860
1999,California,Liver and Intrahepatic Bile Duct,5.4,1562,33499204
1999,Colorado,Liver and Intrahepatic Bile Duct,3.6,126,4226018
1999,Connecticut,Liver and Intrahepatic Bile Duct,3.7,137,3386401
1999,Delaware,Liver and Intrahepatic Bile Duct,4.3,33,774990
1999,District of Columbia,Liver and Intrahepatic Bile Duct,7,39,570213
1999,Florida,Liver and Intrahepatic Bile Duct,4.3,860,15759421
1999,Georgia,Liver and Intrahepatic Bile Duct,4.1,267,8045965
1999,Hawaii,Liver and Intrahepatic Bile Duct,6.6,81,1210300
1999,Idaho,Liver and Intrahepatic Bile Duct,3.7,43,1275674
1999,Illinois,Liver and Intrahepatic Bile Duct,4.9,585,12359020
1999,Indiana,Liver and Intrahepatic Bile Duct,4.2,249,6044969
1999,Iowa,Liver and Intrahepatic Bile Duct,3.4,116,2917634
1999,Kansas,Liver and Intrahepatic Bile Duct,3.9,105,2678338
1999,Kentucky,Liver and Intrahepatic Bile Duct,4.4,175,4018053
1999,Louisiana,Liver and Intrahepatic Bile Duct,6,248,4460811
1999,Maine,Liver and Intrahepatic Bile Duct,4.4,62,1266808
1999,Maryland,Liver and Intrahepatic Bile Duct,4.4,214,5254509
1999,Massachusetts,Liver and Intrahepatic Bile Duct,4.2,277,6317345
1999,Michigan,Liver and Intrahepatic Bile Duct,4.6,448,9897116
1999,Minnesota,Liver and Intrahepatic Bile Duct,3.2,153,4873481
1999,Mississippi,Liver and Intrahepatic Bile Duct,5.5,149,2828408
1999,Missouri,Liver and Intrahepatic Bile Duct,4.2,244,5561948
1999,Montana,Liver and Intrahepatic Bile Duct,4.3,41,897507
1999,Nebraska,Liver and Intrahepatic Bile Duct,2.9,51,1704764
1999,Nevada,Liver and Intrahepatic Bile Duct,4.9,86,1934718
1999,New Hampshire,Liver and Intrahepatic Bile Duct,4.3,51,1222014
1999,New Jersey,Liver and Intrahepatic Bile Duct,4.5,391,8359592
1999,New Mexico,Liver and Intrahepatic Bile Duct,4.3,71,1808082
1999,New York,Liver and Intrahepatic Bile Duct,4.7,893,18882725
1999,North Carolina,Liver and Intrahepatic Bile Duct,3.5,267,7949361
1999,North Dakota,Liver and Intrahepatic Bile Duct,4.6,34,644259
1999,Ohio,Liver and Intrahepatic Bile Duct,3.9,459,11335454
1999,Oklahoma,Liver and Intrahepatic Bile Duct,4,142,3437147
1999,Oregon,Liver and Intrahepatic Bile Duct,3,105,3393941
1999,Pennsylvania,Liver and Intrahepatic Bile Duct,4.1,587,12263805
1999,Rhode Island,Liver and Intrahepatic Bile Duct,4.4,51,1040402
1999,South Carolina,Liver and Intrahepatic Bile Duct,4.1,157,3974682
1999,South Dakota,Liver and Intrahepatic Bile Duct,3.9,32,750412
1999,Tennessee,Liver and Intrahepatic Bile Duct,3.9,218,5638706
1999,Texas,Liver and Intrahepatic Bile Duct,6,1005,20558220
1999,United States,Liver and Intrahepatic Bile Duct,4.5,12382,279040168
1999,Utah,Liver and Intrahepatic Bile Duct,4.1,64,2203482
1999,Vermont,Liver and Intrahepatic Bile Duct,3.3,20,604683
