Year,Area,Cancer Type,Age-Adjusted Rate,Death Count,Population
1999,Alabama,Lung and Bronchus,62.5,2852,4430141
1999,Alaska,Lung and Bronchus,54.8,179,624779
1999,Arizona,Lung and Bronchus,49.4,2513,5023823
1999,Arkansas,Lung and Bronchus,67.7,1952,2651860
1999,California,Lung and Bronchus,48.1,13740,33499204
1999,Colorado,Lung and Bronchus,40.5,1368,4226018
1999,Connecticut,Lung and Bronchus,48.8,1788,3386401
1999,Delaware,Lung and Bronchus,68.2,539,774990
1999,District of Columbia,Lung and Bronchus,54,299,570213
1999,Florida,Lung and Bronchus,56.3,11483,15759421
1999,Georgia,Lung and Bronchus,60.1,3935,8045965
1999,Hawaii,Lung and Bronchus,36.7,454,1210300
1999,Idaho,Lung and Bronchus,43.1,497,1275674
1999,Illinois,Lung and Bronchus,56.6,6713,12359020
1999,Indiana,Lung and Bronchus,65.5,3897,6044969
1999,Iowa,Lung and Bronchus,50.6,1675,2917634
1999,Kansas,Lung and Bronchus,53.8,1470,2678338
1999,Kentucky,Lung and Bronchus,73.9,2969,4018053
1999,Louisiana,Lung and Bronchus,65.4,2690,4460811
1999,Maine,Lung and Bronchus,58,822,1266808
1999,Maryland,Lung and Bronchus,58.7,2847,5254509
1999,Massachusetts,Lung and Bronchus,54,3593,6317345
1999,Michigan,Lung and Bronchus,56.3,5438,9897116
1999,Minnesota,Lung and Bronchus,47.3,2205,4873481
1999,Mississippi,Lung and Bronchus,70.5,1906,2828408
1999,Missouri,Lung and Bronchus,61.9,3620,5561948
1999,Montana,Lung and Bronchus,53.4,507,897507
1999,Nebraska,Lung and Bronchus,51.2,909,1704764
1999,Nevada,Lung and Bronchus,64.3,1131,1934718
1999,New Hampshire,Lung and Bronchus,56.3,665,1222014
1999,New Jersey,Lung and Bronchus,52.9,4603,8359592
1999,New Mexico,Lung and Bronchus,37.9,627,1808082
1999,New York,Lung and Bronchus,49.9,9550,18882725
1999,North Carolina,Lung and Bronchus,60.6,4684,7949361
1999,North Dakota,Lung and Bronchus,41.5,298,644259
1999,Ohio,Lung and Bronchus,60.8,7172,11335454
1999,Oklahoma,Lung and Bronchus,62.5,2221,3437147
1999,Oregon,Lung and Bronchus,54.5,1887,3393941
1999,Pennsylvania,Lung and Bronchus,54.5,7918,12263805
1999,Rhode Island,Lung and Bronchus,60,698,1040402
1999,South Carolina,Lung and Bronchus,60.1,2337,3974682
1999,South Dakota,Lung and Bronchus,49.6,404,750412
1999,Tennessee,Lung and Bronchus,67.2,3790,5638706
1999,Texas,Lung and Bronchus,55.2,9186,20558220
1999,United States,Lung and Bronchus,55.4,152061,279040168
1999,Utah,Lung and Bronchus,26.5,402,2203482
1999,Vermont,Lung and Bronchus,55,338,604683
1999,Virginia,Lung and Bronchus,58.8,3777,7000174
1999,Washington,Lung and Bronchus,57.4,3055,5842564
1999,West Virginia,Lung and Bronchus,73.1,1569,1811799
1999,Wisconsin,Lung and Bronchus,48.6,2649,5332666
1999,Wyoming,Lung and Bronchus,52.1,240,491780
2000,Alabama,Lung and Bronchus,64.2,2964,4452173
2000,Alaska,Lung and Bronchus,59.4,203,627963
2000,Arizona,Lung and Bronchus,48.2,2520,5160586
2000,Arkansas,Lung and Bronchus,68.2,1988,2678588
2000,California,Lung and Bronchus,47.1,13690,33987977
2000,Colorado,Lung and Bronchus,41.2,1432,4326921
2000,Connecticut,Lung and Bronchus,50.5,1867,3411777
2000,Delaware,Lung and Bronchus,59.2,478,786373
2000,District of Columbia,Lung and Bronchus,57.2,319,572046
2000,Florida,Lung and Bronchus,56.5,11742,16047515
2000,Georgia,Lung and Bronchus,62.4,4166,8227303
2000,Hawaii,Lung and Bronchus,35.5,448,1213519
2000,Idaho,Lung and Bronchus,45.1,533,1299430
2000,Illinois,Lung and Bronchus,57.2,6828,12434161
2000,Indiana,Lung and Bronchus,65.5,3936,6091866
2000,Iowa,Lung and Bronchus,52.2,1733,2929067
2000,Kansas,Lung and Bronchus,52.7,1458,2693681
2000,Kentucky,Lung and Bronchus,79.8,3255,4049021
2000,Louisiana,Lung and Bronchus,67.5,2815,4471885
2000,Maine,Lung and Bronchus,62.2,896,1277072
2000,Maryland,Lung and Bronchus,59.2,2925,5311034
2000,Massachusetts,Lung and Bronchus,55.9,3762,6361104
2000,Michigan,Lung and Bronchus,56.8,5548,9952450
2000,Minnesota,Lung and Bronchus,46.4,2197,4933692
2000,Mississippi,Lung and Bronchus,70.6,1930,2848353
2000,Missouri,Lung and Bronchus,63.3,3739,5607285
2000,Montana,Lung and Bronchus,50.3,485,903773
2000,Nebraska,Lung and Bronchus,47.9,861,1713820
2000,Nevada,Lung and Bronchus,64.8,1184,2018741
2000,New Hampshire,Lung and Bronchus,54.7,659,1239882
2000,New Jersey,Lung and Bronchus,53.2,4682,8430621
2000,New Mexico,Lung and Bronchus,38.9,660,1821204
2000,New York,Lung and Bronchus,49.3,9564,19001780
2000,North Carolina,Lung and Bronchus,62.1,4874,8081614
2000,North Dakota,Lung and Bronchus,44.1,315,642023
2000,Ohio,Lung and Bronchus,61.1,7258,11363543
2000,Oklahoma,Lung and Bronchus,64.7,2321,3454365
2000,Oregon,Lung and Bronchus,58.6,2055,3429708
2000,Pennsylvania,Lung and Bronchus,55.1,8057,12284173
2000,Rhode Island,Lung and Bronchus,58.4,681,1050268
2000,South Carolina,Lung and Bronchus,61.1,2419,4024223
2000,South Dakota,Lung and Bronchus,46.9,389,755844
2000,Tennessee,Lung and Bronchus,68.8,3939,5703719
2000,Texas,Lung and Bronchus,55.7,9470,20944499
2000,United States,Lung and Bronchus,55.8,155426,282162411
2000,Utah,Lung and Bronchus,26.3,407,2244502
2000,Vermont,Lung and Bronchus,53.4,334,609618
2000,Virginia,Lung and Bronchus,58.9,3853,7105817
