Year,Area,Cancer Type,Age-Adjusted Rate,Death Count,Population
1999,Alabama,Female Breast,25.7,653,2293259
1999,Alaska,Female Breast,20.4,42,301266
1999,Arizona,Female Breast,25.4,684,2518299
1999,Arkansas,Female Breast,25.3,401,1359445
1999,California,Female Breast,25.1,4060,16800161
1999,Colorado,Female Breast,24.8,489,2101358
1999,Connecticut,Female Breast,25.5,541,1747148
1999,Delaware,Female Breast,27.7,120,398732
1999,District of Columbia,Female Breast,35.8,118,301797
1999,Florida,Female Breast,24.4,2579,8073847
1999,Georgia,Female Breast,26.1,1008,4096031
1999,Hawaii,Female Breast,21.1,138,601830
1999,Idaho,Female Breast,27,171,636798
1999,Illinois,Female Breast,29.5,2007,6313350
1999,Indiana,Female Breast,26.4,898,3083351
1999,Iowa,Female Breast,25.8,479,1488223
1999,Kansas,Female Breast,25.3,386,1356044
1999,Kentucky,Female Breast,26.7,602,2056401
1999,Louisiana,Female Breast,29.2,683,2302744
1999,Maine,Female Breast,27.1,215,650598
1999,Maryland,Female Breast,28,791,2716928
1999,Massachusetts,Female Breast,27.1,1045,3274830
1999,Michigan,Female Breast,28.1,1531,5047770
1999,Minnesota,Female Breast,24.9,670,2462931
1999,Mississippi,Female Breast,28.1,429,1464581
1999,Missouri,Female Breast,25.7,856,2860166
1999,Montana,Female Breast,23.4,122,450543
1999,Nebraska,Female Breast,23.9,249,865531
1999,Nevada,Female Breast,26.7,245,949422
1999,New Hampshire,Female Breast,27.6,186,621409
1999,New Jersey,Female Breast,28.8,1436,4304271
1999,New Mexico,Female Breast,23.5,215,918661
1999,New York,Female Breast,28.3,3127,9777654
1999,North Carolina,Female Breast,26.6,1168,4062710
1999,North Dakota,Female Breast,26,111,322617
1999,Ohio,Female Breast,29.3,1960,5835017
1999,Oklahoma,Female Breast,26.4,522,1748783
1999,Oregon,Female Breast,26.6,511,1712226
1999,Pennsylvania,Female Breast,29.2,2386,6347064
1999,Rhode Island,Female Breast,26.4,179,540724
1999,South Carolina,Female Breast,27.7,604,2045606
1999,South Dakota,Female Breast,23.1,110,378500
1999,Tennessee,Female Breast,26.1,833,2897466
1999,Texas,Female Breast,25.2,2408,10360202
1999,United States,Female Breast,26.6,41144,142237295
1999,Utah,Female Breast,21.7,185,1100167
1999,Vermont,Female Breast,25.4,89,308398
1999,Virginia,Female Breast,27.2,1008,3569683
1999,Washington,Female Breast,23.9,725,2934901
1999,West Virginia,Female Breast,24.8,286,931809
1999,Wisconsin,Female Breast,26.6,825,2701525
1999,Wyoming,Female Breast,23,58,244518
2000,Alabama,Female Breast,26.7,691,2302835
2000,Alaska,Female Breast,28,61,303213
2000,Arizona,Female Breast,26.1,718,2584579
2000,Arkansas,Female Breast,23.3,374,1371015
2000,California,Female Breast,25.7,4243,17050415
2000,Colorado,Female Breast,23.3,476,2147742
2000,Connecticut,Female Breast,25.5,539,1759318
2000,Delaware,Female Breast,31.3,140,404447
2000,District of Columbia,Female Breast,29.1,96,302643
2000,Florida,Female Breast,24.4,2653,8217314
2000,Georgia,Female Breast,25.5,1007,4180233
2000,Hawaii,Female Breast,18,119,603494
2000,Idaho,Female Breast,27.5,178,647984
2000,Illinois,Female Breast,29.6,2045,6345277
2000,Indiana,Female Breast,27.8,950,3103169
2000,Iowa,Female Breast,23.7,451,1491775
2000,Kansas,Female Breast,27.7,434,1362500
2000,Kentucky,Female Breast,26,598,2069716
2000,Louisiana,Female Breast,30.4,725,2306978
2000,Maine,Female Breast,24.2,197,655545
2000,Maryland,Female Breast,27.6,795,2746031
2000,Massachusetts,Female Breast,26.9,1059,3296245
2000,Michigan,Female Breast,27.1,1493,5072182
2000,Minnesota,Female Breast,26.9,733,2490622
2000,Mississippi,Female Breast,30,463,1472553
2000,Missouri,Female Breast,27.8,925,2879787
2000,Montana,Female Breast,25.1,131,453425
2000,Nebraska,Female Breast,22.1,226,868980
2000,Nevada,Female Breast,26.8,257,990315
2000,New Hampshire,Female Breast,26,181,630111
2000,New Jersey,Female Breast,31,1567,4340112
2000,New Mexico,Female Breast,25.7,241,925624
2000,New York,Female Breast,27.6,3093,9842061
2000,North Carolina,Female Breast,24.2,1075,4119034
2000,North Dakota,Female Breast,23.9,97,321555
2000,Ohio,Female Breast,29,1957,5845425
2000,Oklahoma,Female Breast,25.5,513,1756493
2000,Oregon,Female Breast,24.5,477,1728647
2000,Pennsylvania,Female Breast,27.6,2280,6351999
2000,Rhode Island,Female Breast,28,187,545774
2000,South Carolina,Female Breast,28.7,637,2068627
2000,South Dakota,Female Breast,27.8,129,380681
2000,Tennessee,Female Breast,26.4,863,2926133
2000,Texas,Female Breast,25.2,2466,10545156
2000,United States,Female Breast,26.6,41872,143719004
2000,Utah,Female Breast,22.7,198,1119827
2000,Vermont,Female Breast,28.6,106,310849
2000,Virginia,Female Breast,29,1097,3619742
2000,Washington,Female Breast,24.3,749,2967734
2000,West Virginia,Female Breast,27.9,329,928269
2000,Wisconsin,Female Breast,25.2,788,2719235
2000,Wyoming,Female Breast,25,65,245584
2001,Alabama,Female Breast,28.6,748,2309496
2001,Alaska,Female Breast,22.2,46,305579
2001,Arizona,Female Breast,24.2,685,2641676
2001,Arkansas,Female Breast,24.6,395,1376845
2001,California,Female Breast,24.9,4200,17294223
2001,Colorado,Female Breast,22.4,469,2195705
2001,Connecticut,Female Breast,27.3,594,1768959
2001,Delaware,Female Breast,26.8,123,409349
2001,District of Columbia,Female Breast,39,128,303740
2001,Florida,Female Breast,23.3,2562,8372776
2001,Georgia,Female Breast,25,1010,4256162
2001,Hawaii,Female Breast,20.5,139,609189
2001,Idaho,Female Breast,19.8,131,658043
2001,Illinois,Female Breast,26.6,1846,6370443
2001,Indiana,Female Breast,26.9,921,3120158
2001,Iowa,Female Breast,24,455,1492287
2001,Kansas,Female Breast,22.3,355,1365966
2001,Kentucky,Female Breast,27.6,636,2076871
2001,Louisiana,Female Breast,30.5,729,2308063
2001,Maine,Female Breast,22,182,659657
2001,Maryland,Female Breast,27.9,819,2779864
2001,Massachusetts,Female Breast,26.7,1048,3312567
2001,Michigan,Female Breast,26.3,1473,5089289
2001,Minnesota,Female Breast,25,687,2514149
2001,Mississippi,Female Breast,28.2,440,1473486
2001,Missouri,Female Breast,27.2,917,2895476
2001,Montana,Female Breast,22.9,124,454683
2001,Nebraska,Female Breast,25.1,254,871208
2001,Nevada,Female Breast,25.3,255,1030850
2001,New Hampshire,Female Breast,26.2,186,637412
2001,New Jersey,Female Breast,28.8,1467,4369932
2001,New Mexico,Female Breast,19.1,183,930387
2001,New York,Female Breast,27.6,3125,9878713
2001,North Carolina,Female Breast,25.4,1154,4187317
2001,North Dakota,Female Breast,25.5,103,319787
2001,Ohio,Female Breast,28.6,1941,5853691
2001,Oklahoma,Female Breast,26.9,536,1760052
2001,Oregon,Female Breast,26.3,520,1747889
2001,Pennsylvania,Female Breast,28.2,2316,6354395
2001,Rhode Island,Female Breast,23.4,159,548974
2001,South Carolina,Female Breast,26,589,2089963
2001,South Dakota,Female Breast,18.8,87,381537
2001,Tennessee,Female Breast,25.8,845,2948421
2001,Texas,Female Breast,24.9,2483,10731190
2001,United States,Female Breast,26,41394,145077463
2001,Utah,Female Breast,22.1,197,1139182
2001,Vermont,Female Breast,29.1,106,311779
2001,Virginia,Female Breast,27.9,1077,3665386
2001,Washington,Female Breast,24.3,759,3002080
2001,West Virginia,Female Breast,25.6,309,923643
2001,Wisconsin,Female Breast,25.7,821,2733647
2001,Wyoming,Female Breast,23,60,245327
2002,Alabama,Female Breast,25.6,681,2314370
2002,Alaska,Female Breast,21.2,47,309633
2002,Arizona,Female Breast,22.7,659,2704217
2002,Arkansas,Female Breast,25.4,416,1383239
2002,California,Female Breast,24,4133,17498462
2002,Colorado,Female Breast,23,493,2228665
2002,Connecticut,Female Breast,25.2,551,1780500
2002,Delaware,Female Breast,23.6,110,414652
2002,District of Columbia,Female Breast,34.3,110,303146
2002,Florida,Female Breast,23.6,2668,8541734
2002,Georgia,Female Breast,25.2,1042,4327934
2002,Hawaii,Female Breast,16.4,115,616192
2002,Idaho,Female Breast,25.2,173,668686
2002,Illinois,Female Breast,27.1,1897,6387897
2002,Indiana,Female Breast,25.6,900,3133342
2002,Iowa,Female Breast,25,483,1491450
2002,Kansas,Female Breast,26.5,419,1371898
2002,Kentucky,Female Breast,27.7,652,2087223
2002,Louisiana,Female Breast,29.6,718,2315524
2002,Maine,Female Breast,24,201,664226
2002,Maryland,Female Breast,29.3,879,2815197
2002,Massachusetts,Female Breast,26.4,1055,3319436
2002,Michigan,Female Breast,26.9,1516,5100171
2002,Minnesota,Female Breast,22.7,641,2531205
2002,Mississippi,Female Breast,26.7,419,1475412
2002,Missouri,Female Breast,26.1,893,2910476
2002,Montana,Female Breast,27.4,150,456712
2002,Nebraska,Female Breast,24.2,252,874803
2002,Nevada,Female Breast,25.7,270,1069764
2002,New Hampshire,Female Breast,24.4,176,643680
2002,New Jersey,Female Breast,28.5,1476,4398801
2002,New Mexico,Female Breast,21.9,216,941856
2002,New York,Female Breast,26,2988,9902927
2002,North Carolina,Female Breast,26.2,1221,4250179
2002,North Dakota,Female Breast,25.9,103,319017
2002,Ohio,Female Breast,27.9,1913,5859385
2002,Oklahoma,Female Breast,27.1,546,1769080
2002,Oregon,Female Breast,24.7,501,1771126
2002,Pennsylvania,Female Breast,27.9,2317,6363832
2002,Rhode Island,Female Breast,23.6,164,553090
2002,South Carolina,Female Breast,27,627,2111069
2002,South Dakota,Female Breast,23.8,109,382328
2002,Tennessee,Female Breast,25.9,865,2971873
2002,Texas,Female Breast,24.7,2510,10914653
2002,United States,Female Breast,25.6,41514,146394634
2002,Utah,Female Breast,24.1,220,1158853
2002,Vermont,Female Breast,21.6,81,312959
2002,Virginia,Female Breast,26.9,1059,3713695
2002,Washington,Female Breast,23.8,762,3036742
2002,West Virginia,Female Breast,22.8,274,923841
2002,Wisconsin,Female Breast,24.5,790,2751697
2002,Wyoming,Female Breast,19.7,53,247785
2003,Alabama,Female Breast,25.4,679,2324069
2003,Alaska,Female Breast,23.2,55,313034
2003,Arizona,Female Breast,22.4,675,2764077
2003,Arkansas,Female Breast,23.5,386,1391523
2003,California,Female Breast,23.8,4184,17709509
2003,Colorado,Female Breast,23.1,506,2253214
2003,Connecticut,Female Breast,23.7,525,1793468
2003,Delaware,Female Breast,25.2,119,420802
2003,District of Columbia,Female Breast,29.6,97,300607
2003,Florida,Female Breast,22.6,2594,8697573
2003,Georgia,Female Breast,26,1104,4394952
2003,Hawaii,Female Breast,17.1,122,623753
2003,Idaho,Female Breast,24.9,173,679877
2003,Illinois,Female Breast,26.5,1872,6402859
2003,Indiana,Female Breast,26.5,943,3152366
2003,Iowa,Female Breast,23.2,452,1493907
2003,Kansas,Female Breast,26.9,431,1377415
2003,Kentucky,Female Breast,25.2,599,2102308
2003,Louisiana,Female Breast,30.7,754,2327153
2003,Maine,Female Breast,27.5,231,668680
2003,Maryland,Female Breast,26.9,820,2843847
2003,Massachusetts,Female Breast,24.5,995,3320817
2003,Michigan,Female Breast,25.1,1439,5110521
2003,Minnesota,Female Breast,22.8,640,2546999
2003,Mississippi,Female Breast,26.9,425,1479611
2003,Missouri,Female Breast,26.7,923,2926556
2003,Montana,Female Breast,20.8,117,460116
2003,Nebraska,Female Breast,23.3,244,879362
2003,Nevada,Female Breast,26.4,296,1108135
2003,New Hampshire,Female Breast,25,180,648513
2003,New Jersey,Female Breast,28.7,1506,4421964
