state,county,sex,year,total_mean
Alabama,Autauga County,Males,2002,30.05
Alabama,Autauga County,Females,2002,23.23
Alabama,Baldwin County,Males,2002,27.12
Alabama,Baldwin County,Females,2002,24.19
Alabama,Barbour County,Males,2002,33.64
Alabama,Barbour County,Females,2002,23.92
Alabama,Bibb County,Males,2002,34.38
Alabama,Bibb County,Females,2002,26.85
Alabama,Blount County,Males,2002,31.12
Alabama,Blount County,Females,2002,29.9
Alabama,Bullock County,Males,2002,35.87
Alabama,Bullock County,Females,2002,22.55
Alabama,Butler County,Males,2002,32.08
Alabama,Butler County,Females,2002,23.41
Alabama,Calhoun County,Males,2002,30.34
Alabama,Calhoun County,Females,2002,27.79
Alabama,Chambers County,Males,2002,34.05
Alabama,Chambers County,Females,2002,25.06
Alabama,Cherokee County,Males,2002,30.98
Alabama,Cherokee County,Females,2002,26.44
Alabama,Chilton County,Males,2002,31.67
Alabama,Chilton County,Females,2002,26.99
Alabama,Choctaw County,Males,2002,31.99
Alabama,Choctaw County,Females,2002,19.92
Alabama,Clarke County,Males,2002,30.01
Alabama,Clarke County,Females,2002,21.76
Alabama,Clay County,Males,2002,31.23
Alabama,Clay County,Females,2002,28.85
Alabama,Cleburne County,Males,2002,31.12
Alabama,Cleburne County,Females,2002,27.15
Alabama,Coffee County,Males,2002,28.49
Alabama,Coffee County,Females,2002,24.96
Alabama,Colbert County,Males,2002,31.51
Alabama,Colbert County,Females,2002,25.48
Alabama,Conecuh County,Males,2002,30.6
Alabama,Conecuh County,Females,2002,22.51
Alabama,Coosa County,Males,2002,32.88
Alabama,Coosa County,Females,2002,26.96
Alabama,Covington County,Males,2002,32.14
Alabama,Covington County,Females,2002,25.35
Alabama,Crenshaw County,Males,2002,32.09
Alabama,Crenshaw County,Females,2002,24.39
Alabama,Cullman County,Males,2002,31.96
Alabama,Cullman County,Females,2002,30.23
Alabama,Dale County,Males,2002,29.33
Alabama,Dale County,Females,2002,25.02
Alabama,Dallas County,Males,2002,34.51
Alabama,Dallas County,Females,2002,20.7
Alabama,DeKalb County,Males,2002,31.27
Alabama,DeKalb County,Females,2002,27.49
Alabama,Elmore County,Males,2002,29.15
Alabama,Elmore County,Females,2002,25.76
Alabama,Escambia County,Males,2002,33.8
Alabama,Escambia County,Females,2002,27.01
Alabama,Etowah County,Males,2002,31.55
Alabama,Etowah County,Females,2002,28.74
Alabama,Fayette County,Males,2002,32.78
Alabama,Fayette County,Females,2002,26.68
Alabama,Franklin County,Males,2002,32.97
Alabama,Franklin County,Females,2002,28.2
Alabama,Geneva County,Males,2002,33.14
Alabama,Geneva County,Females,2002,26.96
Alabama,Greene County,Males,2002,32.67
Alabama,Greene County,Females,2002,20.17
Alabama,Hale County,Males,2002,32.73
Alabama,Hale County,Females,2002,23.38
Alabama,Henry County,Males,2002,30.71
Alabama,Henry County,Females,2002,22.4
Alabama,Houston County,Males,2002,30.61
Alabama,Houston County,Females,2002,22.32
Alabama,Jackson County,Males,2002,32.94
Alabama,Jackson County,Females,2002,30.77
Alabama,Jefferson County,Males,2002,29.95
Alabama,Jefferson County,Females,2002,21.94
Alabama,Lamar County,Males,2002,31.3
Alabama,Lamar County,Females,2002,26.27
Alabama,Lauderdale County,Males,2002,30.44
Alabama,Lauderdale County,Females,2002,22.83
Alabama,Lawrence County,Males,2002,33.03
Alabama,Lawrence County,Females,2002,27.88
Alabama,Lee County,Males,2002,25.42
Alabama,Lee County,Females,2002,21.74
Alabama,Limestone County,Males,2002,30.68
Alabama,Limestone County,Females,2002,26.2
Alabama,Lowndes County,Males,2002,33.82
Alabama,Lowndes County,Females,2002,19.53
Alabama,Macon County,Males,2002,29.35
Alabama,Macon County,Females,2002,19.47
Alabama,Madison County,Males,2002,24.73
Alabama,Madison County,Females,2002,21.8
Alabama,Marengo County,Males,2002,30.3
Alabama,Marengo County,Females,2002,20.62
Alabama,Marion County,Males,2002,32.81
Alabama,Marion County,Females,2002,27.5
Alabama,Marshall County,Males,2002,31.24
Alabama,Marshall County,Females,2002,30.77
Alabama,Mobile County,Males,2002,31.67
Alabama,Mobile County,Females,2002,24.74
Alabama,Monroe County,Males,2002,29.95
Alabama,Monroe County,Females,2002,24.07
Alabama,Montgomery County,Males,2002,27.91
Alabama,Montgomery County,Females,2002,19.16
Alabama,Morgan County,Males,2002,30.54
Alabama,Morgan County,Females,2002,30.3
Alabama,Perry County,Males,2002,32.71
Alabama,Perry County,Females,2002,21.09
Alabama,Pickens County,Males,2002,30.8
Alabama,Pickens County,Females,2002,22.52
Alabama,Pike County,Males,2002,29.09
Alabama,Pike County,Females,2002,22.43
Alabama,Randolph County,Males,2002,32.11
Alabama,Randolph County,Females,2002,27.04
Alabama,Russell County,Males,2002,33.67
Alabama,Russell County,Females,2002,25.93
Alabama,St. Clair County,Males,2002,30.64
Alabama,St. Clair County,Females,2002,30.03
Alabama,Shelby County,Males,2002,22.4
Alabama,Shelby County,Females,2002,19.69
Alabama,Sumter County,Males,2002,31.34
Alabama,Sumter County,Females,2002,19.75
Alabama,Talladega County,Males,2002,31.78
Alabama,Talladega County,Females,2002,27.08
Alabama,Tallapoosa County,Males,2002,31.04
Alabama,Tallapoosa County,Females,2002,27.6
Alabama,Tuscaloosa County,Males,2002,27.94
Alabama,Tuscaloosa County,Females,2002,21.86
Alabama,Walker County,Males,2002,33.88
Alabama,Walker County,Females,2002,30.76
Alabama,Washington County,Males,2002,31.5
Alabama,Washington County,Females,2002,24.41
Alabama,Wilcox County,Males,2002,32.02
Alabama,Wilcox County,Females,2002,20.82
Alabama,Winston County,Males,2002,34.18
Alabama,Winston County,Females,2002,29.49
Alaska,Aleutians East Borough,Males,2002,33.2
Alaska,Aleutians East Borough,Females,2002,36.05
Alaska,Aleutians West Census Area,Males,2002,34.3
Alaska,Aleutians West Census Area,Females,2002,34.68
Alaska,Anchorage Municipality,Males,2002,25.61
Alaska,Anchorage Municipality,Females,2002,22.43
Alaska,Bethel Census Area,Males,2002,41.7
Alaska,Bethel Census Area,Females,2002,31.18
Alaska,Bristol Bay Borough,Males,2002,30.89
Alaska,Bristol Bay Borough,Females,2002,30.25
Alaska,Denali Borough/Yukon-Koyukuk Census Area,Males,2002,37.81
Alaska,Denali Borough/Yukon-Koyukuk Census Area,Females,2002,34.28
Alaska,Dillingham Census Area,Males,2002,36.85
Alaska,Dillingham Census Area,Females,2002,32.17
Alaska,Fairbanks North Star Borough,Males,2002,25.66
Alaska,Fairbanks North Star Borough,Females,2002,22.35
Alaska,Haines Borough,Males,2002,26.49
Alaska,Haines Borough,Females,2002,22.06
Alaska,Juneau City and Borough,Males,2002,23.95
Alaska,Juneau City and Borough,Females,2002,21.87
Alaska,Kenai Peninsula Borough,Males,2002,29.27
Alaska,Kenai Peninsula Borough,Females,2002,26.25
Alaska,Kodiak Island Borough,Males,2002,31.11
Alaska,Kodiak Island Borough,Females,2002,24.94
Alaska,Lake and Peninsula Borough,Males,2002,38.83
Alaska,Lake and Peninsula Borough,Females,2002,34.77
Alaska,Matanuska-Susitna Borough,Males,2002,30.92
Alaska,Matanuska-Susitna Borough,Females,2002,26.89
Alaska,Nome Census Area,Males,2002,44.6
Alaska,Nome Census Area,Females,2002,38.7
Alaska,North Slope Borough,Males,2002,42.37
Alaska,North Slope Borough,Females,2002,37.04
Alaska,Northwest Arctic Borough,Males,2002,47.06
Alaska,Northwest Arctic Borough,Females,2002,40.02
Alaska,Sitka City and Borough,Males,2002,27.37
Alaska,Sitka City and Borough,Females,2002,24.2
Alaska,Hoonah-Angoon Census Area/Skagway Municipality/Yakutat City and Borough,Males,2002,31.29
Alaska,Hoonah-Angoon Census Area/Skagway Municipality/Yakutat City and Borough,Females,2002,26.19
Alaska,Southeast Fairbanks Census Area,Males,2002,30.45
Alaska,Southeast Fairbanks Census Area,Females,2002,27.94
Alaska,Valdez-Cordova Census Area,Males,2002,28.98
Alaska,Valdez-Cordova Census Area,Females,2002,23.48
Alaska,Wade Hampton Census Area,Males,2002,45.39
Alaska,Wade Hampton Census Area,Females,2002,34.52
Alaska,Ketchikan Gateway Borough/Petersburg Census Area/Prince of Wales-Hyder Census Area/Wrangell City and Borough,Males,2002,31.0
Alaska,Ketchikan Gateway Borough/Petersburg Census Area/Prince of Wales-Hyder Census Area/Wrangell City and Borough,Females,2002,28.6
Arizona,Apache County,Males,2002,33.25
Arizona,Apache County,Females,2002,25.19
Arizona,Cochise County,Males,2002,24.71
Arizona,Cochise County,Females,2002,22.27
Arizona,Coconino County,Males,2002,25.56
Arizona,Coconino County,Females,2002,20.61
Arizona,Gila County,Males,2002,29.83
Arizona,Gila County,Females,2002,25.45
Arizona,Graham County,Males,2002,27.71
Arizona,Graham County,Females,2002,20.09
Arizona,Greenlee County,Males,2002,26.05
Arizona,Greenlee County,Females,2002,19.55
Arizona,La Paz County,Males,2002,29.75
Arizona,La Paz County,Females,2002,28.91
Arizona,Maricopa County,Males,2002,24.32
Arizona,Maricopa County,Females,2002,21.31
Arizona,Mohave County,Males,2002,34.29
Arizona,Mohave County,Females,2002,31.95
