state,county,sex,year,total_mean
Alabama,Autauga County,Females,2002,23.23
Alabama,Baldwin County,Females,2002,24.19
Alabama,Barbour County,Females,2002,23.92
Alabama,Bibb County,Females,2002,26.85
Alabama,Blount County,Females,2002,29.9
Alabama,Bullock County,Females,2002,22.55
Alabama,Butler County,Females,2002,23.41
Alabama,Calhoun County,Females,2002,27.79
Alabama,Chambers County,Females,2002,25.06
Alabama,Cherokee County,Females,2002,26.44
Alabama,Chilton County,Females,2002,26.99
Alabama,Choctaw County,Females,2002,19.92
Alabama,Clarke County,Females,2002,21.76
Alabama,Clay County,Females,2002,28.85
Alabama,Cleburne County,Females,2002,27.15
Alabama,Coffee County,Females,2002,24.96
Alabama,Colbert County,Females,2002,25.48
Alabama,Conecuh County,Females,2002,22.51
Alabama,Coosa County,Females,2002,26.96
Alabama,Covington County,Females,2002,25.35
Alabama,Crenshaw County,Females,2002,24.39
Alabama,Cullman County,Females,2002,30.23
Alabama,Dale County,Females,2002,25.02
Alabama,Dallas County,Females,2002,20.7
Alabama,DeKalb County,Females,2002,27.49
Alabama,Elmore County,Females,2002,25.76
Alabama,Escambia County,Females,2002,27.01
Alabama,Etowah County,Females,2002,28.74
Alabama,Fayette County,Females,2002,26.68
Alabama,Franklin County,Females,2002,28.2
Alabama,Geneva County,Females,2002,26.96
Alabama,Greene County,Females,2002,20.17
Alabama,Hale County,Females,2002,23.38
Alabama,Henry County,Females,2002,22.4
Alabama,Houston County,Females,2002,22.32
Alabama,Jackson County,Females,2002,30.77
Alabama,Jefferson County,Females,2002,21.94
Alabama,Lamar County,Females,2002,26.27
Alabama,Lauderdale County,Females,2002,22.83
Alabama,Lawrence County,Females,2002,27.88
Alabama,Lee County,Females,2002,21.74
Alabama,Limestone County,Females,2002,26.2
Alabama,Lowndes County,Females,2002,19.53
Alabama,Macon County,Females,2002,19.47
Alabama,Madison County,Females,2002,21.8
Alabama,Marengo County,Females,2002,20.62
Alabama,Marion County,Females,2002,27.5
Alabama,Marshall County,Females,2002,30.77
Alabama,Mobile County,Females,2002,24.74
Alabama,Monroe County,Females,2002,24.07
Alabama,Montgomery County,Females,2002,19.16
Alabama,Morgan County,Females,2002,30.3
Alabama,Perry County,Females,2002,21.09
Alabama,Pickens County,Females,2002,22.52
Alabama,Pike County,Females,2002,22.43
Alabama,Randolph County,Females,2002,27.04
Alabama,Russell County,Females,2002,25.93
Alabama,St. Clair County,Females,2002,30.03
Alabama,Shelby County,Females,2002,19.69
Alabama,Sumter County,Females,2002,19.75
Alabama,Talladega County,Females,2002,27.08
Alabama,Tallapoosa County,Females,2002,27.6
Alabama,Tuscaloosa County,Females,2002,21.86
Alabama,Walker County,Females,2002,30.76
Alabama,Washington County,Females,2002,24.41
Alabama,Wilcox County,Females,2002,20.82
Alabama,Winston County,Females,2002,29.49
Alaska,Aleutians East Borough,Females,2002,36.05
Alaska,Aleutians West Census Area,Females,2002,34.68
Alaska,Anchorage Municipality,Females,2002,22.43
Alaska,Bethel Census Area,Females,2002,31.18
Alaska,Bristol Bay Borough,Females,2002,30.25
Alaska,Denali Borough/Yukon-Koyukuk Census Area,Females,2002,34.28
Alaska,Dillingham Census Area,Females,2002,32.17
Alaska,Fairbanks North Star Borough,Females,2002,22.35
Alaska,Haines Borough,Females,2002,22.06
Alaska,Juneau City and Borough,Females,2002,21.87
Alaska,Kenai Peninsula Borough,Females,2002,26.25
Alaska,Kodiak Island Borough,Females,2002,24.94
