state,county,sex,year,total_mean
Alabama,Autauga County,Males,2002,30.05
Alabama,Baldwin County,Males,2002,27.12
Alabama,Barbour County,Males,2002,33.64
Alabama,Bibb County,Males,2002,34.38
Alabama,Blount County,Males,2002,31.12
Alabama,Bullock County,Males,2002,35.87
Alabama,Butler County,Males,2002,32.08
Alabama,Calhoun County,Males,2002,30.34
Alabama,Chambers County,Males,2002,34.05
Alabama,Cherokee County,Males,2002,30.98
Alabama,Chilton County,Males,2002,31.67
Alabama,Choctaw County,Males,2002,31.99
Alabama,Clarke County,Males,2002,30.01
Alabama,Clay County,Males,2002,31.23
Alabama,Cleburne County,Males,2002,31.12
Alabama,Coffee County,Males,2002,28.49
Alabama,Colbert County,Males,2002,31.51
Alabama,Conecuh County,Males,2002,30.6
Alabama,Coosa County,Males,2002,32.88
Alabama,Covington County,Males,2002,32.14
Alabama,Crenshaw County,Males,2002,32.09
Alabama,Cullman County,Males,2002,31.96
Alabama,Dale County,Males,2002,29.33
Alabama,Dallas County,Males,2002,34.51
Alabama,DeKalb County,Males,2002,31.27
Alabama,Elmore County,Males,2002,29.15
Alabama,Escambia County,Males,2002,33.8
Alabama,Etowah County,Males,2002,31.55
Alabama,Fayette County,Males,2002,32.78
Alabama,Franklin County,Males,2002,32.97
Alabama,Geneva County,Males,2002,33.14
Alabama,Greene County,Males,2002,32.67
Alabama,Hale County,Males,2002,32.73
Alabama,Henry County,Males,2002,30.71
Alabama,Houston County,Males,2002,30.61
Alabama,Jackson County,Males,2002,32.94
Alabama,Jefferson County,Males,2002,29.95
Alabama,Lamar County,Males,2002,31.3
Alabama,Lauderdale County,Males,2002,30.44
Alabama,Lawrence County,Males,2002,33.03
Alabama,Lee County,Males,2002,25.42
Alabama,Limestone County,Males,2002,30.68
Alabama,Lowndes County,Males,2002,33.82
Alabama,Macon County,Males,2002,29.35
Alabama,Madison County,Males,2002,24.73
Alabama,Marengo County,Males,2002,30.3
Alabama,Marion County,Males,2002,32.81
Alabama,Marshall County,Males,2002,31.24
Alabama,Mobile County,Males,2002,31.67
Alabama,Monroe County,Males,2002,29.95
Alabama,Montgomery County,Males,2002,27.91
Alabama,Morgan County,Males,2002,30.54
Alabama,Perry County,Males,2002,32.71
Alabama,Pickens County,Males,2002,30.8
Alabama,Pike County,Males,2002,29.09
Alabama,Randolph County,Males,2002,32.11
Alabama,Russell County,Males,2002,33.67
Alabama,St. Clair County,Males,2002,30.64
Alabama,Shelby County,Males,2002,22.4
Alabama,Sumter County,Males,2002,31.34
Alabama,Talladega County,Males,2002,31.78
Alabama,Tallapoosa County,Males,2002,31.04
Alabama,Tuscaloosa County,Males,2002,27.94
Alabama,Walker County,Males,2002,33.88
Alabama,Washington County,Males,2002,31.5
Alabama,Wilcox County,Males,2002,32.02
Alabama,Winston County,Males,2002,34.18
Alaska,Aleutians East Borough,Males,2002,33.2
Alaska,Aleutians West Census Area,Males,2002,34.3
Alaska,Anchorage Municipality,Males,2002,25.61
Alaska,Bethel Census Area,Males,2002,41.7
Alaska,Bristol Bay Borough,Males,2002,30.89
Alaska,Denali Borough/Yukon-Koyukuk Census Area,Males,2002,37.81
Alaska,Dillingham Census Area,Males,2002,36.85
Alaska,Fairbanks North Star Borough,Males,2002,25.66
Alaska,Haines Borough,Males,2002,26.49
Alaska,Juneau City and Borough,Males,2002,23.95
Alaska,Kenai Peninsula Borough,Males,2002,29.27
Alaska,Kodiak Island Borough,Males,2002,31.11
Alaska,Lake and Peninsula Borough,Males,2002,38.83
Alaska,Matanuska-Susitna Borough,Males,2002,30.92
Alaska,Nome Census Area,Males,2002,44.6
Alaska,North Slope Borough,Males,2002,42.37
Alaska,Northwest Arctic Borough,Males,2002,47.06
Alaska,Sitka City and Borough,Males,2002,27.37
Alaska,Hoonah-Angoon Census Area/Skagway Municipality/Yakutat City and Borough,Males,2002,31.29
Alaska,Southeast Fairbanks Census Area,Males,2002,30.45
Alaska,Valdez-Cordova Census Area,Males,2002,28.98
Alaska,Wade Hampton Census Area,Males,2002,45.39
Alaska,Ketchikan Gateway Borough/Petersburg Census Area/Prince of Wales-Hyder Census Area/Wrangell City and Borough,Males,2002,31.0
Arizona,Apache County,Males,2002,33.25
Arizona,Cochise County,Males,2002,24.71
Arizona,Coconino County,Males,2002,25.56
Arizona,Gila County,Males,2002,29.83
Arizona,Graham County,Males,2002,27.71
Arizona,Greenlee County,Males,2002,26.05
Arizona,La Paz County,Males,2002,29.75
Arizona,Maricopa County,Males,2002,24.32
Arizona,Mohave County,Males,2002,34.29
Arizona,Navajo County,Males,2002,31.31
Arizona,Pima County,Males,2002,24.43
Arizona,Pinal County,Males,2002,28.69
Arizona,Santa Cruz County,Males,2002,24.22
Arizona,Yavapai County,Males,2002,28.5
Arizona,Yuma County,Males,2002,27.14
Arkansas,Arkansas County,Males,2002,32.67
Arkansas,Ashley County,Males,2002,32.8
Arkansas,Baxter County,Males,2002,33.24
Arkansas,Benton County,Males,2002,27.57
Arkansas,Boone County,Males,2002,31.14
Arkansas,Bradley County,Males,2002,32.87
Arkansas,Calhoun County,Males,2002,31.59
Arkansas,Carroll County,Males,2002,29.48
Arkansas,Chicot County,Males,2002,35.81
Arkansas,Clark County,Males,2002,26.97
Arkansas,Clay County,Males,2002,38.22
Arkansas,Cleburne County,Males,2002,29.88
Arkansas,Cleveland County,Males,2002,30.88
Arkansas,Columbia County,Males,2002,27.94
Arkansas,Conway County,Males,2002,31.56
Arkansas,Craighead County,Males,2002,30.88
Arkansas,Crawford County,Males,2002,30.04
Arkansas,Crittenden County,Males,2002,34.87
Arkansas,Cross County,Males,2002,35.46
Arkansas,Dallas County,Males,2002,33.83
Arkansas,Desha County,Males,2002,34.96
Arkansas,Drew County,Males,2002,30.84
Arkansas,Faulkner County,Males,2002,26.34
Arkansas,Franklin County,Males,2002,29.54
Arkansas,Fulton County,Males,2002,31.89
Arkansas,Garland County,Males,2002,33.73
Arkansas,Grant County,Males,2002,32.25
Arkansas,Greene County,Males,2002,36.02
Arkansas,Hempstead County,Males,2002,31.67
Arkansas,Hot Spring County,Males,2002,33.65
Arkansas,Howard County,Males,2002,29.99
Arkansas,Independence County,Males,2002,30.99
Arkansas,Izard County,Males,2002,31.42
Arkansas,Jackson County,Males,2002,35.84
Arkansas,Jefferson County,Males,2002,34.0
Arkansas,Johnson County,Males,2002,30.49
Arkansas,Lafayette County,Males,2002,31.71
Arkansas,Lawrence County,Males,2002,34.95
Arkansas,Lee County,Males,2002,34.86
Arkansas,Lincoln County,Males,2002,33.15
Arkansas,Little River County,Males,2002,31.46
Arkansas,Logan County,Males,2002,32.27
Arkansas,Lonoke County,Males,2002,30.79
Arkansas,Madison County,Males,2002,30.17
Arkansas,Marion County,Males,2002,31.99
Arkansas,Miller County,Males,2002,31.98
Arkansas,Mississippi County,Males,2002,35.92
Arkansas,Monroe County,Males,2002,33.18
Arkansas,Montgomery County,Males,2002,30.68
Arkansas,Nevada County,Males,2002,32.43
Arkansas,Newton County,Males,2002,29.77
Arkansas,Ouachita County,Males,2002,30.91
Arkansas,Perry County,Males,2002,32.41
Arkansas,Phillips County,Males,2002,34.25
Arkansas,Pike County,Males,2002,29.46
Arkansas,Poinsett County,Males,2002,38.48
Arkansas,Polk County,Males,2002,29.8
Arkansas,Pope County,Males,2002,28.07
Arkansas,Prairie County,Males,2002,32.26
Arkansas,Pulaski County,Males,2002,29.04
Arkansas,Randolph County,Males,2002,35.14
Arkansas,St. Francis County,Males,2002,34.57
Arkansas,Saline County,Males,2002,31.96
Arkansas,Scott County,Males,2002,31.74
Arkansas,Searcy County,Males,2002,32.16
Arkansas,Sebastian County,Males,2002,28.91
Arkansas,Sevier County,Males,2002,30.54
Arkansas,Sharp County,Males,2002,32.98
Arkansas,Stone County,Males,2002,32.6
Arkansas,Union County,Males,2002,30.2
Arkansas,Van Buren County,Males,2002,30.87
Arkansas,Washington County,Males,2002,26.71
Arkansas,White County,Males,2002,30.42
Arkansas,Woodruff County,Males,2002,33.72
Arkansas,Yell County,Males,2002,33.2
California,Alameda County,Males,2002,20.99
California,Alpine County,Males,2002,24.07
California,Amador County,Males,2002,24.83
California,Butte County,Males,2002,24.95
California,Calaveras County,Males,2002,24.31
California,Colusa County,Males,2002,28.4
California,Contra Costa County,Males,2002,20.33
California,Del Norte County,Males,2002,29.19
California,El Dorado County,Males,2002,21.64
California,Fresno County,Males,2002,24.47
California,Glenn County,Males,2002,28.4
California,Humboldt County,Males,2002,24.84
California,Imperial County,Males,2002,24.16
California,Inyo County,Males,2002,27.21
California,Kern County,Males,2002,27.84
California,Kings County,Males,2002,26.94
California,Lake County,Males,2002,29.57
California,Lassen County,Males,2002,27.93
California,Los Angeles County,Males,2002,24.82
California,Madera County,Males,2002,26.63
California,Marin County,Males,2002,18.3
California,Mariposa County,Males,2002,24.37
California,Mendocino County,Males,2002,26.36
California,Merced County,Males,2002,26.52
California,Modoc County,Males,2002,27.48
California,Mono County,Males,2002,22.33
California,Monterey County,Males,2002,24.81
California,Napa County,Males,2002,23.85
California,Nevada County,Males,2002,22.92
California,Orange County,Males,2002,19.38
California,Placer County,Males,2002,20.69
California,Plumas County,Males,2002,25.7
California,Riverside County,Males,2002,22.63
California,Sacramento County,Males,2002,22.48
California,San Benito County,Males,2002,23.6
California,San Bernardino County,Males,2002,25.43
California,San Diego County,Males,2002,20.43
California,San Francisco County,Males,2002,20.94
California,San Joaquin County,Males,2002,24.98
California,San Luis Obispo County,Males,2002,22.44
California,San Mateo County,Males,2002,20.38
